state_1789_fr,count
France,543
Grande-Bretagne,260
Empire ottoman,137
Espagne,130
Royaume de Naples,125
Provinces-Unies,76
Danemark,66
République de Gênes,48
Etats-Unis d'Amérique,43
Suède,40
Royaume de Piémont-Sardaigne,35
Prusse,21
Portugal,19
Etats pontificaux,16
zone maritime,14
Toscane,13
Autriche,13
Empire russe,12
multi-Etat,9
République de Venise,7
Maroc,7
Monaco,6
Malte,5
Duché de Massa et Carrare,3
Duché de Mecklenbourg,3
Duché de Courlande,2
République de Raguse,2
République de Lucques,2
Duché d'Oldenbourg,2
Principauté de Piombino,2
Chine,1
Pologne,1
Principauté de Lampédouse,1
Brême,1
Hambourg,1
Lubeck,1
Royaume de Bonny,1
Evêché de Münster,1
